year,city_a,city_b,probability,strategic_score,combined_score
2026,天津,潍坊,0.98589516,0.8070824999999999,0.93225133
2026,北京,淄博,0.9643804,0.813,0.91896623
2026,北京,大连,0.9502788,0.84564,0.91888714
2026,北京,潍坊,0.9502788,0.8347499999999999,0.9156202
2026,郑州,合肥,0.9551033,0.8222249999999999,0.9152398
2026,上海,郑州,0.92168164,0.8821275,0.9098154
2026,武汉,常德,0.96355337,0.7765,0.9074373
2026,郑州,襄阳,0.96903396,0.7406275,0.900512
2026,济南,新乡,0.981447,0.7107025,0.9002236
2026,成都,万州,0.96136516,0.7525,0.8987056
2026,北京,唐山,0.9936162,0.67175,0.89705634
2026,合肥,孝感,0.9772134,0.7045975,0.8954286
2026,沈阳,吉林,0.9921341,0.66754,0.89475584
2026,济南,开封,0.97473735,0.7039525,0.8935019
2026,天津,石家庄,0.99028474,0.6655825,0.8928741
2026,郑州,曲阜,0.9903943,0.6651275000000001,0.8928142
2026,潍坊,徐州,0.98241675,0.6815,0.8921417
2026,西安,万州,0.9776323,0.6925749999999999,0.89211506
2026,上海,扬州,0.9865957,0.65825,0.888092
2026,南宁,桂林,0.98913527,0.6514,0.88781464
2026,北京,重庆,0.88142323,0.895,0.88549626
2026,贵阳,曲靖,0.9813379,0.660655,0.885133
2026,郑州,渭南,0.95921123,0.7113775,0.8848611
2026,福州,衢州,0.96149176,0.705235,0.8846147
2026,温州,湖州,0.9841905,0.6485,0.88348335
2026,合肥,汉口,0.98292303,0.6500975,0.88307536
2026,石家庄,张家口,0.9775479,0.661,0.8825835
2026,太原,濮阳,0.982854,0.6466075,0.88198006
2026,杭州,扬州,0.99176943,0.6232499999999999,0.8812136
2026,武汉,池州,0.9357837,0.7525,0.8807986
2027,武汉,杭州,0.9643836,0.9299999999999999,0.95406854
2027,重庆,贵阳,0.99157166,0.853655,0.9501966
2027,上海,淮安,0.9949787,0.8159999999999998,0.94128513
2027,广州,福州,0.97657406,0.840235,0.93567234
2027,天津,临沂,0.9840546,0.7980824999999999,0.928263
2027,重庆,怀化,0.9854549,0.7934999999999999,0.9278684
2027,重庆,西安,0.93311274,0.9050750000000001,0.92470145
2027,杭州,淮安,0.98384225,0.7809999999999999,0.9229896
2027,武汉,湘潭,0.9905578,0.76525,0.9229654
2027,武汉,张家界,0.9969207,0.7494999999999999,0.9226945
2027,重庆,广州,0.9190309,0.9299999999999999,0.9223217
2027,武汉,十堰,0.9905578,0.76225,0.92206544
2027,武汉,株洲,0.9865154,0.7705,0.9217107
2027,广州,汕头,0.98741233,0.7675,0.92143863
2027,杭州,九江,0.98384225,0.7749999999999999,0.9211896
2027,南京,青岛,0.9569691,0.8375575,0.9211456
2027,成都,遵义,0.98183423,0.7787499999999999,0.9209089
2027,南京,九江,0.99143934,0.7556575,0.9207048
2027,上海,池州,0.9745589,0.7874999999999999,0.9184412
2027,福州,南昌,0.975274,0.7792574999999999,0.9164691
2027,济南,烟台,0.98711306,0.7505425,0.91614187
2027,青岛,徐州,0.9891689,0.7386499999999999,0.9140132
2027,济南,唐山,0.98341596,0.7519525,0.9139769
2027,合肥,临沂,0.99213034,0.7308475,0.91374546
2027,合肥,嘉兴,0.9886768,0.7380625,0.9134925
2027,重庆,昆明,0.946347,0.8365575000000001,0.9134101
2027,郑州,十堰,0.99706584,0.7143775,0.91225934
2027,济南,淮安,0.99402535,0.7212025,0.91217846
2027,石家庄,唐山,0.9950176,0.715,0.9110123
2027,合肥,南昌,0.9675863,0.7741199999999999,0.9095464
2028,重庆,郑州,0.9733812,0.8821275,0.9460051
2028,天津,武汉,0.9575786,0.9023325,0.94100475
2028,天津,太原,0.98374474,0.82574,0.9363433
2028,南京,宁波,0.97579485,0.8434375,0.93608767
2028,武汉,西安,0.97286034,0.835075,0.9315247
2028,重庆,南昌,0.97003776,0.8340225,0.9292332
2028,武汉,福州,0.96682036,0.840235,0.92884475
2028,天津,郑州,0.9448857,0.88946,0.928258
2028,天津,合肥,0.96439236,0.84243,0.92780364
2028,上海,石家庄,0.9676608,0.83325,0.9273375
2028,杭州,济南,0.96682036,0.8352025,0.927335
2028,郑州,杭州,0.961138,0.8471275,0.92693484
