year,city_a,city_b,probability
2026,衢州,温州,0.9968208
2026,西安,十堰,0.99654406
2026,济南,临沂,0.99614775
2026,长春,沈阳,0.99562365
2026,南昌,黄山,0.9953863
2026,九江,衢州,0.9949774
2026,南宁,湛江,0.9947679
2026,合肥,徐州,0.99418795
2026,天津,承德,0.99403834
2026,九江,黄山,0.99297005
2026,池州,湖州,0.99246615
2026,南京,合肥,0.9923867
2026,郑州,新乡,0.99221605
2026,赣州,衡阳,0.99191535
2026,南昌,池州,0.9913134
2026,黄山,温州,0.9909259
2026,潍坊,徐州,0.99088305
2026,哈尔滨,吉林,0.9892491
2026,沈阳,吉林,0.9890872
2026,南京,徐州,0.9890721
2026,安庆,湖州,0.9889163
2026,南宁,北海,0.9871221
2026,南宁,钦州,0.9871221
2026,天津,济南,0.9866851
2026,哈尔滨,牡丹江,0.9858622
2026,济南,雄安,0.9856588
2026,南昌,衢州,0.98514485
2026,西安,万州,0.9847919
2026,徐州,池州,0.9847061
2026,天津,石家庄,0.9846405
2026,南宁,桂林,0.9839035
2026,贵阳,曲靖,0.9836766
2026,南宁,防城港,0.98251235
2026,天津,潍坊,0.98213416
2026,济南,曲阜,0.98151785
2026,贵阳,弥勒,0.9808394
2026,九江,安庆,0.98000985
2026,合肥,湖州,0.97874784
2026,贵阳,安顺,0.9785968
2026,南京,池州,0.9785527
2026,长沙,赣州,0.97850937
2026,赣州,汕头,0.9781756
2026,贵阳,遵义,0.9779221
2026,沈阳,四平,0.97758704
2026,潍坊,曲阜,0.9765024
2026,南京,安庆,0.9747302
2026,九江,池州,0.9743627
2026,武汉,襄阳,0.97409093
2026,武汉,荆州,0.97384745
2026,太原,延安,0.9731032
2026,哈尔滨,佳木斯,0.97303444
2026,南京,阜阳,0.9703499
2026,徐州,曲阜,0.9659511
2026,利川,怀化,0.9657878
2026,曲阜,阜阳,0.9657878
2026,武汉,孝感,0.96523297
2026,南昌,衡阳,0.9638017
2026,石家庄,商丘,0.9635624
2026,合肥,苏州,0.9631195
2026,大连,青岛,0.96249074
2026,合肥,扬州,0.9608998
2026,台中,福州,0.96013266
2026,九江,阜阳,0.95935106
2026,石家庄,庄寨,0.9590409
2026,武汉,汉口,0.9581535
2026,石家庄,张家口,0.9570148
2026,广州,佛山,0.9548278
2026,郑州,襄阳,0.9520535
2026,台北,福州,0.95176375
2026,合肥,淮安,0.9515725
2026,石家庄,雄安,0.95000976
2026,武汉,常德,0.94782
2026,天津,淄博,0.9476138
2026,南京,连云港,0.9467604
2026,合肥,临沂,0.945122
2026,深圳,珠海,0.94468296
2026,武汉,宜昌,0.9422908
2026,张家界,万州,0.9417679
2026,南宁,海口,0.9397025
2026,雄安,曲阜,0.93897957
2026,兰州,银川,0.9374587
2026,济南,滨海新区,0.93690646
2026,南昌,长沙,0.93315667
2026,贵阳,怀化,0.93245906
2026,杭州,温州,0.9303669
2026,宝鸡,万州,0.9302747
2026,万州,怀化,0.9302747
2026,黄石,黄山,0.9287198
2026,济南,连云港,0.92358446
2026,大连,秦皇岛,0.9166409
2026,青岛,临沂,0.91572344
2026,广州,珠海,0.91429615
2026,青岛,连云港,0.90575975
2026,黄山,汉口,0.90434885
2027,孝感,池州,0.9875624
2027,南京,黄山,0.97970104
2027,扬州,黄山,0.9772914
2027,南京,衢州,0.9765969
2027,池州,阜阳,0.9760316
2027,桂林,怀化,0.96673954
2027,常德,怀化,0.956321
2027,淮安,曲阜,0.9519289
2027,深圳,玉林,0.9165915
2027,福州,赣州,0.9146544
2027,张家口,承德,0.91342324
2027,厦门,赣州,0.9105543
2027,福州,南昌,0.90330094
2028,天津,濮阳,0.9694575
2028,南昌,黄石,0.95332557
2028,大连,济南,0.9421871
2028,南昌,荆州,0.923142
2028,承德,秦皇岛,0.90802735
2028,太原,曲阜,0.9034563
2028,襄阳,阜阳,0.90173984
2029,濮阳,阜阳,0.99554473
2029,遵义,万州,0.99547285
2029,大连,丹东,0.9916186
2029,孝感,阜阳,0.9912675
2029,石家庄,呼和浩特,0.9895682
2029,潍坊,秦皇岛,0.9888598
2029,重庆,怀化,0.9863036
2029,绵阳,万州,0.98581517
2029,扬州,湖州,0.982165
2029,内江,万州,0.98214704
2029,荆州,衡阳,0.9816009
2029,荆州,襄阳,0.9811141
2029,淮安,湖州,0.9810066
2029,桂林,衡阳,0.9798926
2029,常德,襄阳,0.97988886
2029,金华,衢州,0.9787537
2029,潍坊,连云港,0.9758002
2029,临沂,濮阳,0.97570646
2029,潍坊,日照,0.9752618
2029,常德,衡阳,0.9748199
2029,张家界,襄阳,0.97033757
2029,宜昌,襄阳,0.9694028
2029,潍坊,淮安,0.96861154
2029,张家界,衡阳,0.96808976
2029,临沂,商丘,0.9623392
2029,上海,宁波,0.961004
2029,长沙,张家界,0.9585295
2029,长沙,衡阳,0.9438101
2029,淄博,潍坊,0.94054615
2029,长沙,汉口,0.93958604
2029,台北,温州,0.93892527
2029,莆田,衢州,0.9349586
2029,长沙,常德,0.9171896
2029,临沂,扬州,0.90442455
2029,长沙,孝感,0.90302
2030,重庆,遵义,0.97241175
2030,重庆,宜宾,0.97241175
2030,海口,玉林,0.915861
2030,苏州,金华,0.9155898
2030,佛山,东莞,0.90734464
